est_prsnl_inc_third_quartile_pr100, slct_gov_pnsn_alw_pnsn_dva_num, est_p_inc_tot_own_unincorporated_bsns_inc_aud, est_prsnl_inc_lo_quartile_pr100, lga_code17, gross_capital_gains_rep_taxpayers_med_aud, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud1_499wk_pr100, est_p_inc_tot_inc_earners_excl_gov_pnsn_alw_med_age_yrs, slct_gov_pnsn_alw_fam_tax_bft_b_num, equiv_tot_hsld_inc_fam_lone_p_grp_hslds_med_wkly_aud, slct_gov_pnsn_alw_newstart_alw_num, est_p_inc_investment_inc_earners_med_age_yrs, est_p_inc_tot_investment_inc_aud, slct_gov_pnsn_alw_age_pnsn_dva_num, gross_capital_gains_rep_taxpayers_p_num, est_p_inc_avg_tot_inc_excl_gov_pnsn_aud, slct_gov_pnsn_alw_carer_payment_num, est_prsnl_inc_second_quartile_pr100, est_p_inc_tot_inc_excl_gov_pnsn_aud, est_p_inc_super_annuity_inc_earners_num, est_prsnl_inc_p20_p50_ratio, est_p_inc_investment_inc_asmnsrc_inc_pr100, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud1000_1999wk_pr100, est_prsnl_inc_gini_coefficient_num, ogc_fid, est_p_inc_avg_investment_inc_aud, est_p_inc_med_emply_inc_aud, est_p_inc_avg_super_annuity_inc_aud, slct_gov_pnsn_alw_fam_tax_bft_num, lga_name17, est_p_inc_tot_super_annuity_inc_aud, gross_capital_gains_rep_taxpayers_avg_aud, slct_gov_pnsn_alw_yth_alw_full_time_studts_apprentices_num, slct_gov_pnsn_alw_dsblty_supp_pnsn_num, est_p_inc_own_unincorporated_bsns_inc_asmnsrc_inc_pr100, slct_gov_pnsn_alw_prnting_payment_prtred_num, tot_p_inc_wkly_p_ov_15_yrs_p_earn_nil_inc_pr100, est_prsnl_inc_p80_p50_ratio, est_prsnl_inc_inc_share_top_5_pr100_earners_pr100, est_prsnl_inc_inc_share_top_10_pr100_earners_pr100, est_prsnl_inc_p80_p20_ratio, est_p_inc_tot_inc_earners_excl_gov_pnsn_num, est_prsnl_inc_inc_share_top_1_pr100_earners_pr100, slct_gov_pnsn_alw_age_pnsn_centrelink_num, est_prsnl_inc_p10_p50_ratio, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud3000_plswk_pr100, est_p_inc_super_annuity_inc_earners_med_age_yrs, est_p_inc_super_annuity_inc_asmnsrc_inc_pr100, est_p_inc_avg_own_unincorporated_bsns_inc_aud, est_p_inc_own_unincorporated_bsns_inc_earners_num, tot_p_inc_wkly_p_ov_15_yrs_p_negative_inc_pr100, slct_gov_pnsn_alw_inc_supp_supplement_dva_num, gross_capital_gains_rep_taxpayers_amount_audm, slct_gov_pnsn_alw_prnting_payment_single_num, slct_gov_pnsn_alw_yth_alw_oth_num, est_p_inc_med_investment_inc_aud, est_p_inc_emply_inc_earners_med_age_yrs, est_p_inc_med_tot_inc_excl_gov_pnsn_aud, est_p_inc_tot_emply_inc_aud, est_p_inc_emply_inc_asmnsrc_inc_pr100, est_p_inc_investment_inc_earners_num, est_p_inc_own_unincorporated_bsns_inc_earners_med_age_yrs, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud500_999wk_pr100, est_p_inc_med_super_annuity_inc_aud, yr, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud2000_2999wk_pr100, est_prsnl_inc_hi_quartile_pr100, est_p_inc_med_own_unincorporated_bsns_inc_aud, est_p_inc_emply_inc_earners_num, est_p_inc_avg_emply_inc_aud
26.8,28,26766913,26.2,"14300",1431,26.2,44,324,704,146,48,8342559,null,180,52221,100,27.4,146844110,66,0.37,10.1,15.1,0.449,141,4454,44136,28595,398,"Junee (A)",1887238,25327,21,284,16.1,null,5.1,1.78,17.7,29.1,4.84,2812,5.7,665,0.14,1.2,56,1.4,36172,740,0.5,15,4.6,94,32,235,40,44768,116364141,72.0,1873,51,22.9,22654,2016,2.6,19.7,19925,2381,48872
22.0,259,35950943,32.8,"14350",3313,39.9,49,2314,583,1568,53,39042955,5,768,42476,971,32.2,541907953,508,0.34,14.6,12.3,0.469,148,4401,38249,24947,2740,"Kempsey (A)",12673174,33042,102,2619,11.2,null,5.5,1.82,18.5,30.0,5.43,12758,6.2,5076,0.12,0.8,59,2.3,12513,2873,0.4,156,25.4,726,304,244,43,36161,475334762,71.3,8871,54,24.8,18103,2016,1.5,13.1,5975,10880,43689
20.8,132,54285832,28.0,"14400",3338,28.1,49,709,913,351,52,105744078,null,1273,61162,150,23.8,789054119,554,0.33,20.2,23.3,0.495,155,10361,49262,31485,927,"Kiama (A)",17442683,44552,140,460,8.6,null,6.8,2.1,21.5,32.9,6.35,12901,8.3,3157,0.13,3.0,59,2.3,26238,2069,0.3,79,56.7,125,54,654,43,45542,633626735,68.1,10206,51,24.0,24541,2016,6.0,27.4,12651,10462,60565
17.1,235,679623838,24.6,"14500",3542,19.6,48,2013,1512,624,49,1625366131,8,13016,105650,191,19.0,8112422443,2296,0.3,27.5,22.2,0.605,162,24306,60024,32649,2589,"Ku-ring-gai (A)",74963043,61328,792,722,6.4,null,12.5,2.46,33.0,45.6,8.08,76786,14.8,6822,0.13,13.7,64,1.2,67956,10001,0.4,205,798.2,147,25,1835,43,58598,6031355923,63.4,66870,50,16.3,22509,2016,9.4,39.3,15305,60778,99236
21.1,80,12385397,37.8,"14550",2473,42.5,50,657,550,628,53,15276822,null,253,39312,197,29.6,166998187,131,0.28,16.7,12.0,0.513,169,4992,37498,28835,809,"Kyogle (A)",3777414,31746,45,767,16.6,null,6.2,1.94,20.2,32.2,6.82,4248,7.1,1431,0.06,1.0,58,1.7,8032,1542,0.7,52,8.0,159,82,360,45,31933,143788967,64.2,3060,55,24.3,15096,2016,1.6,11.4,3228,3334,43128
23.9,22,40195532,30.5,"14600",2667,31.9,45,436,661,250,49,17108377,null,187,49131,92,27.7,159824303,56,0.33,14.4,16.5,0.519,176,7587,38565,17536,545,"Lachlan (A)",981991,82950,17,282,22.3,null,5.7,1.88,21.3,32.8,5.66,3253,8.0,827,0.1,1.8,57,0.7,32893,1222,1.4,21,15.5,138,39,581,38,40433,106505448,62.4,2255,54,25.5,10000,2016,2.4,17.9,17802,2458,43330
25.0,1285,308191597,25.6,"14650",2931,32.6,45,10463,801,5806,48,485219704,45,6705,57983,2802,25.1,6225030873,3563,0.36,14.5,21.4,0.46,183,6363,48637,27745,12642,"Lake Macquarie (C)",98856971,28488,1347,8825,5.9,null,7.2,1.88,19.5,30.6,5.21,107360,7.0,30358,0.13,2.1,58,1.7,26577,11596,0.4,675,191.0,2507,990,289,41,47059,5617282996,77.6,76256,47,24.9,17877,2016,4.4,24.3,12074,97681,57506
20.5,66,232076704,19.0,"14700",3456,16.0,42,645,1578,239,43,349440658,null,3241,105013,54,18.0,2468865355,564,0.36,18.4,27.6,0.558,190,17713,67114,36188,772,"Lane Cove (A)",20409911,105544,237,313,6.5,null,9.2,2.07,30.3,42.2,5.82,23510,12.9,1816,0.17,12.7,60,1.0,73886,3141,0.4,46,342.1,67,9,833,38,67210,2005577705,73.2,19728,46,16.0,22132,2016,11.3,42.5,15449,20874,96080
29.3,47,23601416,25.8,"14750",2542,29.5,44,704,759,340,49,18207356,null,295,49815,176,27.4,291666917,108,0.38,10.4,19.1,0.423,197,4896,45783,16906,926,"Leeton (A)",1825853,33728,41,450,10.1,null,8.4,1.69,16.5,27.0,4.47,5855,5.4,1442,0.15,1.0,57,0.9,20069,1176,0.5,38,9.9,207,66,290,40,44962,258260460,78.4,3719,51,27.2,10000,2016,2.5,17.5,10242,5303,48701
25.6,214,87783590,29.5,"14850",2687,35.4,46,3263,683,2506,50,87213632,14,1166,46796,572,29.9,1055662372,734,0.35,13.7,16.6,0.455,204,5409,41325,25827,4056,"Lismore (C)",18957327,35542,526,2949,10.7,null,5.8,1.76,18.7,29.7,5.09,22559,6.7,5527,0.12,1.0,58,1.9,17497,5017,0.5,173,41.4,788,381,263,42,40074,911173697,73.1,16125,52,28.2,15940,2016,2.3,15.0,6273,19923,45735
