est_prsnl_inc_third_quartile_pr100, slct_gov_pnsn_alw_pnsn_dva_num, est_p_inc_tot_own_unincorporated_bsns_inc_aud, est_prsnl_inc_lo_quartile_pr100, lga_code17, gross_capital_gains_rep_taxpayers_med_aud, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud1_499wk_pr100, est_p_inc_tot_inc_earners_excl_gov_pnsn_alw_med_age_yrs, slct_gov_pnsn_alw_fam_tax_bft_b_num, equiv_tot_hsld_inc_fam_lone_p_grp_hslds_med_wkly_aud, slct_gov_pnsn_alw_newstart_alw_num, est_p_inc_investment_inc_earners_med_age_yrs, est_p_inc_tot_investment_inc_aud, slct_gov_pnsn_alw_age_pnsn_dva_num, gross_capital_gains_rep_taxpayers_p_num, est_p_inc_avg_tot_inc_excl_gov_pnsn_aud, slct_gov_pnsn_alw_carer_payment_num, est_prsnl_inc_second_quartile_pr100, est_p_inc_tot_inc_excl_gov_pnsn_aud, est_p_inc_super_annuity_inc_earners_num, est_prsnl_inc_p20_p50_ratio, est_p_inc_investment_inc_asmnsrc_inc_pr100, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud1000_1999wk_pr100, est_prsnl_inc_gini_coefficient_num, ogc_fid, est_p_inc_avg_investment_inc_aud, est_p_inc_med_emply_inc_aud, est_p_inc_avg_super_annuity_inc_aud, slct_gov_pnsn_alw_fam_tax_bft_num, lga_name17, est_p_inc_tot_super_annuity_inc_aud, gross_capital_gains_rep_taxpayers_avg_aud, slct_gov_pnsn_alw_yth_alw_full_time_studts_apprentices_num, slct_gov_pnsn_alw_dsblty_supp_pnsn_num, est_p_inc_own_unincorporated_bsns_inc_asmnsrc_inc_pr100, slct_gov_pnsn_alw_prnting_payment_prtred_num, tot_p_inc_wkly_p_ov_15_yrs_p_earn_nil_inc_pr100, est_prsnl_inc_p80_p50_ratio, est_prsnl_inc_inc_share_top_5_pr100_earners_pr100, est_prsnl_inc_inc_share_top_10_pr100_earners_pr100, est_prsnl_inc_p80_p20_ratio, est_p_inc_tot_inc_earners_excl_gov_pnsn_num, est_prsnl_inc_inc_share_top_1_pr100_earners_pr100, slct_gov_pnsn_alw_age_pnsn_centrelink_num, est_prsnl_inc_p10_p50_ratio, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud3000_plswk_pr100, est_p_inc_super_annuity_inc_earners_med_age_yrs, est_p_inc_super_annuity_inc_asmnsrc_inc_pr100, est_p_inc_avg_own_unincorporated_bsns_inc_aud, est_p_inc_own_unincorporated_bsns_inc_earners_num, tot_p_inc_wkly_p_ov_15_yrs_p_negative_inc_pr100, slct_gov_pnsn_alw_inc_supp_supplement_dva_num, gross_capital_gains_rep_taxpayers_amount_audm, slct_gov_pnsn_alw_prnting_payment_single_num, slct_gov_pnsn_alw_yth_alw_oth_num, est_p_inc_med_investment_inc_aud, est_p_inc_emply_inc_earners_med_age_yrs, est_p_inc_med_tot_inc_excl_gov_pnsn_aud, est_p_inc_tot_emply_inc_aud, est_p_inc_emply_inc_asmnsrc_inc_pr100, est_p_inc_investment_inc_earners_num, est_p_inc_own_unincorporated_bsns_inc_earners_med_age_yrs, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud500_999wk_pr100, est_p_inc_med_super_annuity_inc_aud, yr, tot_p_inc_wkly_p_ov_15_yrs_p_earn_aud2000_2999wk_pr100, est_prsnl_inc_hi_quartile_pr100, est_p_inc_med_own_unincorporated_bsns_inc_aud, est_p_inc_emply_inc_earners_num, est_p_inc_avg_emply_inc_aud
31.8,963,173658662,21.7,"33960",1963,27.9,39,16301,824,7181,42,144531019,72,3582,53829,2552,26.7,5287369512,3502,0.43,6.6,23.7,0.391,1897,2562,49174,24277,19161,"Ipswich (C)",85017966,22756,1552,8523,5.4,null,8.3,1.63,15.6,25.7,3.82,98226,4.9,15164,0.2,1.1,57,1.8,17029,10198,0.6,346,81.5,4150,1654,59,37,48936,5145195492,85.8,56423,43,26.6,18651,2016,3.1,19.8,9132,96751,53180
17.5,32,28699914,20.2,"33980",2136,16.3,38,646,1262,311,39,11004485,null,594,83150,60,17.6,854866343,147,0.33,7.9,21.8,0.459,1904,1422,71107,28014,787,"Isaac (R)",4118124,26400,17,206,7.2,null,8.7,2.1,15.2,26.2,6.37,10281,4.4,571,0.12,7.4,56,0.5,17468,1643,0.8,11,15.7,214,62,44,37,68564,880742539,84.2,7739,45,14.4,12029,2016,12.5,44.7,5840,10211,86254
15.1,null,null,48.8,"34420",null,59.8,41,149,457,132,34,-27061,null,null,32430,23,28.1,9793879,29,0.31,null,8.6,0.49,1911,-552,17905,6977,158,"Kowanyama (S)",202345,null,null,65,null,null,7.8,2.35,18.9,31.5,7.55,302,null,47,0.18,0.9,45,7.7,null,null,0.4,null,null,45,13,8,37,22759,9918004,90.3,49,null,17.4,7093,2016,0.7,8.0,null,343,28915
22.2,255,66525634,25.5,"34530",2813,29.1,46,1723,800,1339,49,91302393,null,1320,61288,360,24.4,1186162862,631,0.36,13.2,20.2,0.479,1918,6876,49918,24753,2056,"Livingstone (S)",15618962,28616,108,1109,8.4,null,7.9,2.03,18.9,30.8,5.63,19354,6.2,4219,0.14,2.5,58,1.7,20153,3301,0.5,86,37.8,455,155,161,42,47827,1073236331,76.2,13278,52,22.0,15140,2016,5.3,28.0,8077,17395,61698
9.9,null,null,52.2,"34570",null,37.1,39,88,430,88,null,null,null,null,28212,12,31.1,4626807,null,null,null,6.3,0.5,1925,null,12309,null,101,"Lockhart River (S)",null,null,null,30,null,null,3.2,null,21.0,34.8,null,164,null,28,null,null,null,null,null,null,null,null,null,38,7,null,36,20394,4965533,96.9,null,null,12.4,null,2016,0.6,6.8,null,219,22674
25.3,283,44376944,29.6,"34580",2180,34.0,43,2641,711,1555,47,58160691,13,864,46995,657,28.9,934921973,646,0.36,10.2,17.5,0.451,1932,4713,40502,23330,3205,"Lockyer Valley (R)",15070906,25927,521,1951,8.3,null,7.7,1.81,17.6,28.6,5.1,19894,5.8,4468,0.15,0.9,57,1.7,12465,3560,0.4,82,22.4,629,287,107,38,40476,864295572,79.2,12340,51,25.6,16810,2016,2.2,16.3,5018,18849,45854
30.6,1524,384647881,22.7,"34590",2751,28.7,40,24780,808,12222,43,376500863,50,5783,52358,4076,28.4,8234335516,4055,0.43,7.8,22.1,0.398,1939,4140,47126,23219,29684,"Logan (C)",94152573,28004,2492,12027,7.3,null,9.2,1.65,16.2,26.4,3.85,157270,5.2,26910,0.21,1.0,57,1.3,19855,19373,0.6,469,161.9,6040,2366,68,38,46810,7826121544,83.1,90938,43,27.1,13789,2016,2.8,18.2,13420,151896,51523
26.7,8,-605406,27.2,"34710",1079,26.2,44,200,868,101,46,11584410,null,157,48242,23,26.8,106469332,40,0.35,12.9,24.3,0.541,1946,7245,44811,18350,261,"Longreach (R)",734005,21018,17,94,11.3,null,5.0,1.8,19.2,30.6,5.12,2207,7.2,341,0.1,1.8,57,0.6,-970,624,1.3,null,3.3,43,15,151,39,43982,101653007,74.8,1599,51,25.9,10000,2016,4.1,19.3,3365,2021,50298
20.3,null,2691045,13.7,"37300",1089,10.6,38,125,1571,62,39,8048010,null,110,88228,null,15.3,162603432,23,0.43,3.7,33.5,0.391,1953,5961,80420,21380,161,"Weipa (T)",491749,13158,null,17,2.6,null,6.7,1.54,17.3,26.3,3.58,1843,7.9,30,0.21,3.8,57,0.1,16611,162,0.3,null,1.4,26,14,32,37,81123,155863977,93.4,1350,43,16.2,12427,2016,16.1,50.8,3689,1875,83127
25.7,95,117560941,27.2,"37310",2405,29.6,43,2171,755,1218,46,67021414,7,1282,54366,450,25.7,913518196,387,0.35,12.1,19.8,0.489,1960,5608,44214,20126,2682,"Western Downs (R)",7788584,56730,98,1440,14.7,null,6.6,1.85,19.9,31.7,5.33,16803,6.5,3271,0.12,2.2,56,1.1,23822,4935,0.8,75,72.7,635,271,172,38,45002,759908208,71.7,11950,52,23.2,10000,2016,3.9,21.5,8703,14707,51670
23.5,218,64081164,26.7,"37340",2646,25.5,42,1802,794,1589,45,72846830,9,900,53003,313,30.1,1017241772,482,0.41,9.9,19.5,0.469,1967,5882,40218,21875,2220,"Whitsunday (R)",10543572,30850,54,1134,9.2,null,5.6,1.9,19.8,31.6,4.69,19192,6.9,3211,0.18,2.0,57,1.3,17985,3563,0.5,60,27.8,486,199,112,37,41993,924699999,79.2,12384,50,27.4,13251,2016,3.8,19.7,9906,18521,49927
24.4,null,null,35.6,"37550",null,55.4,40,156,381,215,43,-25874,null,null,39299,16,32.2,8134880,null,0.41,null,6.8,0.408,1974,-892,21982,null,159,"Woorabinda (S)",null,null,null,54,null,null,5.2,1.77,14.8,25.4,4.34,207,null,29,0.2,0.9,null,null,null,null,2.0,null,null,82,58,5,38,34442,9532736,96.1,29,null,17.6,null,2016,0.6,7.8,null,289,32985
22.7,39,16969708,28.0,"40430",1245,41.1,52,99,571,100,54,7531898,null,91,54753,58,27.1,56340789,62,0.34,19.8,15.2,0.506,2044,9299,34637,33779,119,"Barunga West (DC)",2094281,25066,5,148,21.6,null,5.0,2.09,20.9,33.0,6.11,1029,6.6,600,0.1,1.1,65,4.5,49331,344,0.5,13,2.3,19,9,921,47,40774,31325692,53.5,810,53,23.4,27550,2016,3.0,22.2,28932,748,41879
27.7,95,25890428,28.3,"40520",2831,37.3,47,674,642,552,51,19999634,4,372,46579,200,30.0,263822779,207,0.37,11.2,16.7,0.443,2051,5375,40812,26050,840,"Berri and Barmera (DC)",5392278,18338,50,620,12.2,null,5.4,1.7,18.2,28.9,4.61,5664,6.3,1636,0.14,1.0,60,2.2,18640,1389,0.5,32,6.8,178,66,250,42,41155,222519648,74.0,3721,55,27.7,20144,2016,2.1,14.1,7383,5019,44335
20.6,157,270924579,24.0,"40700",3027,23.2,50,1183,1115,627,52,612796000,6,4453,84542,120,20.3,2476661649,2038,0.33,28.4,24.4,0.55,2058,24616,52585,38930,1495,"Burnside (C)",79339155,35325,454,644,7.8,null,10.6,2.11,28.0,40.3,6.37,29295,11.1,3994,0.13,8.3,69,4.3,55918,4845,0.5,103,157.3,113,33,1888,43,55059,1567345402,58.5,24894,53,19.7,33318,2016,7.5,35.1,14997,21747,72072
23.6,22,13227135,29.3,"44830",578,37.4,52,120,622,102,54,7490142,null,104,51533,47,26.1,71218973,52,0.26,15.4,17.3,0.486,2254,7033,38383,23142,165,"Mount Remarkable (DC)",1203365,9074,10,133,19.5,null,7.3,1.95,19.0,30.6,7.37,1382,5.7,499,0.08,1.3,60,2.2,26401,501,0.9,7,0.9,12,10,448,48,41541,51675071,62.1,1065,55,23.9,19893,2016,2.6,20.9,13137,1073,48159
26.5,222,89570402,26.0,"40910",2205,32.4,44,2309,782,1259,46,161705572,5,2230,53879,404,26.2,1541469336,1372,0.38,16.4,22.2,0.439,2065,7393,47546,29926,2964,"Campbelltown (C) (SA)",41058101,23263,647,1529,7.7,null,9.6,1.81,17.9,28.8,4.77,28610,6.1,7729,0.16,1.5,68,3.0,22653,3954,0.5,104,51.9,310,140,410,40,45479,1304023870,72.1,21874,46,24.4,26238,2016,4.0,21.3,12526,24200,53885
28.1,14,14535469,25.9,"41010",8031,25.2,44,235,800,175,47,8024498,null,94,51844,35,25.9,110375757,45,0.36,10.0,25.0,0.432,2072,6015,41146,20436,277,"Ceduna (DC)",919613,52770,6,105,11.9,null,5.5,1.74,16.8,27.5,4.9,2129,5.3,394,0.16,1.7,60,0.9,32738,444,0.4,null,5.0,67,19,183,40,45662,91008255,77.0,1334,50,23.3,13323,2016,2.6,20.1,17411,1990,45733
27.8,693,190752009,23.7,"41060",2240,32.2,43,5324,794,4152,45,386649173,19,4383,56978,1391,26.1,3608505621,2919,0.4,14.2,22.3,0.438,2079,8446,48537,30766,6529,"Charles Sturt (C)",89807387,30239,1503,4796,7.0,null,7.7,1.75,19.1,29.7,4.39,63332,7.0,15681,0.18,1.9,63,2.9,22883,8336,0.5,307,132.5,964,398,307,39,47928,3098439692,75.3,45780,46,24.6,24866,2016,3.9,22.4,11748,56348,54988
27.4,null,902640,24.5,"37400",1644,25.8,45,57,744,38,48,2360185,null,25,48309,null,28.2,24540787,null,0.4,10.5,20.2,0.503,1981,7130,45579,null,84,"Winton (S)",null,85954,null,29,14.8,null,5.0,1.76,17.4,27.8,4.38,508,6.0,131,0.12,2.0,null,null,5538,163,2.7,null,2.1,12,null,136,40,45103,22246180,72.6,331,49,27.7,null,2016,2.4,19.9,3946,446,49879
30.9,5,2394107,25.3,"41330",null,32.0,42,125,598,203,44,1672521,null,null,49045,27,27.2,33252257,22,0.41,8.1,16.9,0.397,2093,4050,42987,18408,145,"Coober Pedy (DC)",404969,null,null,127,12.4,null,6.5,1.7,13.5,24.1,4.1,678,3.3,277,0.16,0.7,54,1.9,18276,131,0.5,null,null,54,9,102,39,44762,30616890,77.3,413,53,19.6,10923,2016,1.9,16.7,11595,650,47103
26.4,136,32962755,28.8,"45040",1814,36.2,43,1572,629,1177,48,31647262,5,478,42779,351,34.3,456277224,387,0.39,11.2,14.8,0.42,2261,4810,39060,24283,1945,"Murray Bridge (RC)",9397697,27633,136,1178,9.3,null,6.3,1.63,17.2,27.7,4.21,10666,6.2,3193,0.16,0.6,60,2.2,17934,1838,0.6,56,13.2,420,191,149,38,38497,399911598,76.9,6580,50,29.8,18196,2016,1.3,10.5,10790,9619,41575
23.5,90,41474728,28.4,"41140",1094,32.4,49,461,738,260,51,42419635,null,445,52174,88,28.7,279027487,217,0.38,17.6,20.3,0.49,1988,10309,41315,28653,608,"Clare and Gilbert Valleys (DC)",6217753,20210,22,343,15.4,null,5.7,1.92,20.9,32.5,5.05,5348,7.3,1239,0.12,1.7,64,2.5,25906,1601,0.4,34,9.0,86,26,442,43,40973,196089155,63.8,4115,54,28.2,21453,2016,2.9,19.4,10637,4163,47103
13.8,null,null,29.3,"37570",null,72.8,40,38,403,68,null,null,null,null,43268,10,44.8,2379751,null,null,null,4.6,null,1995,null,32366,null,41,"Wujal Wujal (S)",null,null,null,22,null,null,3.2,null,null,null,null,55,null,17,null,null,null,null,null,null,null,null,null,13,5,null,37,36369,2509490,96.6,null,null,11.5,null,2016,2.8,12.1,null,65,38608
23.7,164,46812680,29.4,"41560",2316,42.1,48,883,586,843,53,38846818,null,494,48339,340,30.2,324401481,380,0.35,16.5,14.1,0.469,2100,8068,38667,28608,1094,"Copper Coast (DC)",10871089,34341,40,946,14.3,null,5.1,1.87,19.6,31.1,5.34,6711,6.7,2976,0.13,0.9,62,3.9,31022,1509,0.3,59,17.0,221,110,318,43,39174,237936642,64.7,4815,54,24.8,21578,2016,2.2,16.6,17573,5299,44902
24.1,10,9522027,29.9,"41750",2836,36.8,47,58,608,37,49,3033015,null,46,52178,9,25.5,26245613,null,0.23,16.5,17.8,0.529,2107,8153,30962,null,81,"Elliston (DC)",null,28861,null,49,29.1,null,7.1,1.92,19.9,33.1,8.21,503,5.0,109,0.05,2.6,null,null,44083,216,1.0,null,1.3,7,null,822,39,43897,13923648,51.2,372,52,24.6,null,2016,3.3,20.5,24506,359,38785
29.9,227,34094720,23.6,"42030",1693,34.3,44,1618,722,1013,47,30691052,4,552,51423,305,28.3,622840831,671,0.41,9.9,21.0,0.405,2128,3943,47664,28926,1901,"Gawler (T)",19409423,17267,219,1056,7.1,null,6.9,1.67,15.8,26.2,4.05,12112,5.0,3448,0.18,0.8,61,3.6,22944,1486,0.5,70,9.5,409,162,108,41,45953,566543959,78.7,7784,49,26.0,23887,2016,2.9,18.2,13192,10922,51872
23.7,24,17821100,32.0,"42110",1298,40.0,50,257,598,195,52,10919883,null,161,45952,67,29.4,90020801,84,0.31,15.8,15.7,0.491,2135,7454,37161,22281,344,"Goyder (DC)",1871571,21210,10,271,21.1,null,6.3,1.84,20.9,32.2,5.85,1959,7.4,669,0.09,1.2,60,2.4,23761,750,0.7,6,3.4,39,33,308,45,37626,62560542,59.5,1465,53,24.7,20099,2016,1.6,14.8,10698,1512,41376
25.9,53,32207727,24.8,"42250",2171,27.3,45,291,831,191,48,24332825,null,177,57179,58,27.0,192691659,92,0.41,12.3,21.0,0.466,2142,10630,42022,29677,448,"Grant (DC)",2730277,36996,22,210,15.0,null,5.6,1.82,20.7,31.9,4.45,3370,7.7,691,0.18,2.0,58,1.5,32370,995,0.7,12,6.5,42,17,307,41,45901,136451725,70.7,2289,51,25.2,20987,2016,3.5,22.3,12313,2818,48421
24.2,null,null,29.0,"37600",null,65.4,39,379,425,491,42,-1055,null,null,40204,80,38.4,19298054,49,0.38,0.2,4.5,0.382,2002,-14,31476,12469,406,"Yarrabah (S)",610959,null,null,153,null,null,4.5,1.57,14.9,25.3,4.14,480,null,79,0.24,0.2,43,5.0,null,null,0.9,null,null,181,130,4,37,37001,19458124,94.2,74,null,18.5,8075,2016,0.4,8.4,null,554,35123
21.2,32,100215829,26.9,"40070",3726,23.2,41,387,943,845,45,244465319,null,1471,75443,69,22.2,1058534075,699,0.33,19.3,18.9,0.564,2009,22606,43188,40443,445,"Adelaide (C)",28269464,54724,836,818,8.4,null,17.6,2.09,30.4,42.0,6.38,14031,13.9,1030,0.13,4.9,66,3.1,40888,2451,0.8,23,80.5,79,89,643,34,48851,745787348,68.4,10814,52,16.5,33764,2016,5.3,29.7,12108,12627,59063
21.4,60,17889819,33.9,"42750",5688,34.9,50,246,634,199,53,15144941,null,211,42124,42,32.3,110913073,99,0.35,16.6,15.6,0.489,2156,7888,32632,32289,351,"Kangaroo Island (DC)",3196589,27091,13,158,20.3,null,4.6,1.85,19.9,32.0,5.29,2633,6.4,625,0.11,1.0,63,2.6,17908,999,0.8,21,5.7,32,11,449,44,34221,79102334,59.6,1920,55,29.5,26167,2016,1.7,12.4,9388,2064,38325
19.2,5,3964567,44.7,"43080",1562,42.6,49,70,545,44,51,1767054,null,35,32721,21,26.9,16327978,null,0.21,18.6,11.4,0.607,2163,4519,31967,null,92,"Karoonda East Murray (DC)",null,34730,null,59,29.7,null,7.3,2.09,20.6,33.6,9.77,499,null,195,0.03,0.8,null,null,14109,281,0.9,5,1.2,null,null,645,42,27934,11384116,49.9,391,54,26.8,null,2016,1.1,9.2,7611,310,36723
23.0,192,130348320,24.9,"40120",2306,25.9,48,1295,999,656,50,261725480,6,2235,66708,150,23.6,1616335195,1314,0.36,18.0,25.4,0.5,2016,13992,50347,34799,1700,"Adelaide Hills (DC)",45726058,35138,290,590,9.6,null,8.4,1.94,24.1,35.3,5.35,24230,10.0,3826,0.15,4.2,64,3.4,27270,4780,0.4,57,78.5,150,59,429,44,49518,1239378344,68.0,18705,53,23.0,30634,2016,6.3,28.4,9830,19961,62090
23.4,310,55014300,31.6,"40220",2336,37.2,50,1418,651,958,54,72940213,8,1007,45859,333,29.7,609609979,877,0.34,18.7,16.1,0.471,2023,7608,40426,31399,1816,"Alexandrina (DC)",27536511,22049,127,1166,11.8,null,6.1,1.89,19.3,30.7,5.5,13293,6.4,5352,0.11,1.1,66,4.7,18181,3026,0.4,92,22.2,243,102,294,44,37647,473082387,63.6,9587,53,26.9,25470,2016,2.5,15.3,9024,10208,46344
18.2,null,null,43.5,"40250",null,54.3,41,354,459,357,44,-41706,null,null,43260,24,19.4,7310883,null,null,0.6,8.6,0.504,2030,-851,25038,null,371,"Anangu Pitjantjatjara (AC)",null,null,null,216,null,null,6.1,null,18.3,31.6,null,169,null,95,null,0.2,null,null,null,null,0.2,null,null,86,56,7,41,25272,7399194,98.8,49,null,8.7,null,2016,2.1,18.8,null,170,43525
28.7,54,40215149,23.3,"43650",1755,29.2,45,717,860,380,47,31095869,null,472,54529,134,26.4,442777674,299,0.4,10.7,24.7,0.42,2184,5418,48759,25398,1002,"Light (RegC)",7594032,24644,134,389,10.7,null,7.9,1.72,16.7,27.2,4.29,8120,5.3,1236,0.18,1.3,59,1.8,24733,1626,0.5,23,11.6,92,51,140,42,47960,379607868,76.1,5739,52,26.0,21123,2016,4.1,21.5,11194,7092,53526
27.5,166,47225766,25.4,"40310",2106,30.6,46,1179,804,577,49,64767809,7,930,52936,175,26.9,704628739,621,0.38,13.6,22.8,0.437,2037,6461,46311,28906,1562,"Barossa (DC)",17950784,20979,92,648,9.2,null,6.8,1.76,17.7,28.4,4.62,13311,5.8,3269,0.15,1.6,60,2.8,18248,2588,0.3,70,19.5,187,74,170,42,45449,598986061,73.8,10025,52,26.8,21974,2016,3.9,20.1,7961,11551,51856
26.5,4,17823117,27.2,"41190",360,32.4,48,72,724,37,49,7159447,null,62,55213,11,22.7,51734398,22,0.3,18.0,20.8,0.491,2086,9371,36909,24211,108,"Cleve (DC)",532637,30533,6,49,26.6,null,4.7,1.81,19.5,31.2,6.08,937,5.2,203,0.08,1.5,60,0.9,47276,377,0.7,5,1.9,11,null,599,40,47952,27755000,54.0,764,49,26.9,11234,2016,3.3,23.6,31397,666,41674
25.1,24,28781728,26.6,"43710",1715,27.2,45,228,803,108,47,23155608,null,229,55485,42,26.7,158632056,92,0.37,17.1,21.3,0.488,2191,10995,41193,32418,321,"Lower Eyre Peninsula (DC)",2982412,43756,14,114,17.0,null,6.3,1.87,21.0,32.6,4.99,2859,7.2,504,0.12,1.5,62,2.0,34346,838,0.7,null,10.0,45,9,324,40,44677,105638976,63.1,2106,51,25.3,25573,2016,3.6,21.6,17225,2159,48930
24.1,24,7580183,26.8,"41830",1185,35.8,48,74,651,88,50,3057587,null,58,57384,27,24.0,50956858,40,0.35,11.3,19.3,0.461,2114,4675,44181,21570,89,"Flinders Ranges (DC)",862807,5480,null,84,12.5,null,5.1,1.92,18.3,29.6,5.43,888,5.2,293,0.14,2.0,66,2.6,32957,230,0.2,6,0.3,19,null,199,45,47155,41743118,73.0,654,53,22.2,18181,2016,2.8,25.1,10663,783,53312
25.9,94,37919623,29.0,"43790",2550,35.9,46,659,655,453,49,25938747,null,429,46279,140,31.0,278228373,199,0.34,12.6,17.3,0.459,2198,5971,37289,33046,890,"Loxton Waikerie (DC)",6576139,25397,50,546,13.7,null,5.4,1.75,19.2,30.1,5.1,6012,6.6,1888,0.13,1.1,59,1.7,24000,1580,0.6,53,10.9,127,56,257,41,39751,217938951,71.5,4344,52,28.8,14178,2016,1.7,14.2,10433,5346,40767
27.8,36,24400676,26.1,"43920",1996,30.5,43,515,783,329,46,19877052,null,209,51398,120,28.4,266807419,183,0.4,10.6,21.1,0.438,2205,6389,44685,26477,672,"Mallala (DC)",4845378,31592,58,391,10.6,null,8.7,1.75,18.4,29.1,4.35,5191,6.6,821,0.18,1.0,58,1.9,26069,936,0.7,6,6.6,102,42,126,40,43772,228382046,76.5,3111,49,26.4,21143,2016,2.9,17.7,13300,4575,49920
17.6,15,7562445,28.8,"41960",1385,35.8,48,43,639,42,50,4654959,null,40,57577,17,28.5,38518734,21,0.38,12.2,13.4,0.517,2121,9481,40040,29022,61,"Franklin Harbour (DC)",609459,29024,null,35,21.2,null,5.3,2.4,22.2,34.2,6.34,669,8.8,239,0.13,1.2,58,1.8,33912,223,0.3,7,1.2,10,6,329,45,39352,26860878,64.6,491,53,26.9,13170,2016,3.6,25.1,17231,522,51458
24.3,308,88308840,23.8,"42600",2252,26.1,48,1079,949,865,51,264923310,15,2526,67089,156,23.3,1545525416,1681,0.37,20.7,25.0,0.487,2149,14626,51849,34300,1277,"Holdfast Bay (C)",57658944,38593,472,1012,6.4,null,6.2,1.89,22.8,34.3,5.12,23037,8.8,4982,0.15,4.1,67,4.6,28992,3046,0.3,216,97.5,184,87,614,42,51006,1181734301,67.5,18113,50,24.1,29946,2016,5.9,28.7,11880,18670,63296
23.1,5,9045902,31.7,"43220",406,27.8,46,41,765,15,47,3657519,null,44,49858,5,24.6,26674288,null,0.28,21.6,23.2,0.55,2170,8128,34109,null,60,"Kimba (DC)",null,2869,null,null,26.3,null,4.2,2.03,20.5,33.2,7.19,535,5.9,141,0.04,3.0,null,null,36623,247,1.5,null,0.1,null,null,937,38,39413,14665686,51.1,450,48,27.7,null,2016,2.3,20.5,18835,361,40625
23.1,352,191196633,24.6,"44340",1932,27.2,47,1931,988,1272,49,370516172,11,4145,66447,244,22.5,2646383512,2751,0.35,18.5,24.8,0.484,2233,11794,52080,36114,2484,"Mitcham (C)",99349827,24700,1001,1216,6.9,null,8.7,1.91,22.2,33.3,5.43,39827,8.7,7555,0.15,4.1,68,4.7,35387,5403,0.4,212,102.4,248,123,516,42,51137,2085294710,69.1,31415,50,22.6,32216,2016,6.8,29.8,12174,33138,62928
26.5,171,60594196,24.7,"44550",2770,28.6,44,1810,865,923,46,100412403,null,1141,54809,237,27.2,1038523948,828,0.4,12.8,24.3,0.439,2240,7485,47397,29542,2386,"Mount Barker (DC)",24461165,21886,298,878,9.5,null,7.4,1.8,18.3,29.1,4.52,18948,6.3,3427,0.17,2.2,62,2.6,17347,3493,0.4,80,25.0,284,133,173,41,45922,887796141,74.3,13416,49,25.7,24116,2016,4.2,21.6,9933,16345,54316
23.2,13,19639140,30.0,"43360",1344,34.3,50,98,671,68,54,7666851,null,104,52749,15,26.3,64617179,32,0.35,15.4,16.4,0.479,2177,8416,33427,20352,130,"Kingston (DC) (SA)",651267,10669,null,79,21.8,null,5.1,1.91,19.2,31.6,5.48,1225,5.6,408,0.11,2.3,61,1.1,46101,426,0.7,12,1.1,19,null,581,43,42310,38753383,61.5,911,56,28.2,12913,2016,3.0,20.5,20759,993,39027
null,null,null,null,"44000",null,12.0,null,7,2750,31,null,null,null,null,null,null,null,null,null,null,null,16.0,null,2212,null,null,null,8,"Maralinga Tjarutja (AC)",null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,9,null,null,null,null,null,null,null,null,null,2016,6.0,null,null,null,null
29.2,167,65589178,23.4,"44620",1571,34.4,45,1926,698,1251,50,66298004,null,867,51592,318,29.4,779507573,510,0.43,11.2,19.8,0.408,2247,7042,44189,27729,2392,"Mount Gambier (C)",14141748,23219,200,1366,9.0,null,5.6,1.7,16.6,26.9,3.95,15109,5.4,3671,0.19,1.0,59,1.9,26426,2482,0.5,92,20.1,464,167,252,41,45314,659954074,77.5,9415,53,27.9,20298,2016,2.5,18.0,14684,13759,47965
29.6,1369,245521275,24.3,"45340",1693,33.1,44,11532,747,7182,47,238692450,32,4309,50433,2183,28.8,4555782027,4246,0.41,10.3,21.3,0.406,2289,4058,46558,27828,14291,"Onkaparinga (C)",118156954,19447,1744,7175,7.8,null,7.4,1.67,16.1,26.5,4.06,90333,5.2,21704,0.19,0.9,60,3.0,20343,12069,0.4,339,83.8,2553,1048,120,40,45226,4099163551,78.2,58819,48,27.2,22020,2016,2.7,17.3,12523,80806,50728
25.9,68,14418980,22.1,"46090",1103,29.6,44,1056,730,982,48,12505533,null,279,58157,231,26.2,379296980,360,0.42,6.9,19.7,0.416,2324,2940,48720,23608,1178,"Port Augusta (C)",8498786,11184,46,790,4.5,null,5.7,1.82,16.2,27.0,4.36,6522,5.2,1735,0.18,1.0,61,3.6,23294,619,0.5,21,3.1,389,175,128,42,49164,366411326,84.9,4254,52,22.6,20214,2016,3.8,25.8,9045,6478,56562
26.1,96,61644469,24.2,"46300",1770,33.4,44,976,709,750,48,62149826,null,561,54244,160,29.9,452555117,291,0.43,14.5,20.1,0.447,2331,10671,40588,25786,1217,"Port Lincoln (C)",7503630,25896,94,675,12.3,null,5.1,1.8,19.7,30.5,4.21,8343,6.9,1983,0.19,1.5,59,1.9,34400,1792,0.3,37,14.5,272,93,263,39,44157,337957070,70.8,5824,51,26.6,19125,2016,2.9,19.8,17454,7307,46251
